1,Μαθήμα ,Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων
1,Ημέρα,ΔΕΥΤΕΡΑ
1,Ωρα Απο,15:00
1,Ωρα Εως,17:00
1,Καθηγητής,Α. ΤΣΩΧΟΥ
1,Αιθουσα,Αίθουσα 3
2,Μαθήμα ,Επεξεργασία Ομιλίας και Ήχου
2,Ημέρα,ΔΕΥΤΕΡΑ
2,Ωρα Απο,17:00
2,Ωρα Εως,19:00
2,Καθηγητής,Ι. ΚΑΡΥΔΗΣ
2,Αιθουσα,Αίθουσα 1
3,Μαθήμα ,Έξυπνα Περιβάλλοντα και Εφαρμογές
3,Ημέρα,ΔΕΥΤΕΡΑ
3,Ωρα Απο,19:00
3,Ωρα Εως,21:00
3,Καθηγητής,K. ΧΩΡΙΑΝΟΠΟΥΛΟΣ
3,Αιθουσα,Εργαστήριο Αρεταίος
4,Μαθήμα ,Διοίκηση Ασφάλειας Πληροφοριακών Συστημάτων
4,Ημέρα,ΤΡΙΤΗ
4,Ωρα Απο,11:00
4,Ωρα Εως,13:00
4,Καθηγητής,Α. ΤΣΩΧΟΥ
4,Αιθουσα,Αίθουσα 3
5,Μαθήμα ,Ηλεκτρονική Διακυβέρνηση
5,Ημέρα,ΤΡΙΤΗ
5,Ωρα Απο,13:00
5,Ωρα Εως,15:00
5,Καθηγητής,Π. ΚΟΥΡΟΥΘΑΝΑΣΗΣ
5,Αιθουσα,Αίθουσα 2
6,Μαθήμα ,Παράλληλος Προγραμματισμός
6,Ημέρα,ΤΡΙΤΗ
6,Ωρα Απο,15:00
6,Ωρα Εως,17:00
6,Καθηγητής,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
6,Αιθουσα,Εργαστήριο Αρεταίος
7,Μαθήμα ,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης
7,Ημέρα,ΤΡΙΤΗ
7,Ωρα Απο,17:00
7,Ωρα Εως,19:00
7,Καθηγητής,Θ. ΕΞΑΡΧΟΣ
7,Αιθουσα,Αίθουσα 2
8,Μαθήμα ,Κοινωνικός και Σημασιολογικός Ιστός
8,Ημέρα,ΤΕΤΑΡΤΗ
8,Ωρα Απο,9:00
8,Ωρα Εως,11:00
8,Καθηγητής,Φ. ΜΥΛΩΝΑΣ
8,Αιθουσα,Αίθουσα 1
9,Μαθήμα ,Ηλεκτρονική Διακυβέρνηση
9,Ημέρα,ΤΕΤΑΡΤΗ
9,Ωρα Απο,11:00
9,Ωρα Εως,13:00
9,Καθηγητής,Π. ΚΟΥΡΟΥΘΑΝΑΣΗΣ
9,Αιθουσα,Αίθουσα 2
10,Μαθήμα ,Αποθήκες Δεδομένων και Εξόρυξη Γνώσης
10,Ημέρα,ΤΕΤΑΡΤΗ
10,Ωρα Απο,13:00
10,Ωρα Εως,15:00
10,Καθηγητής,Κ. ΚΕΡΜΑΝΙΔΟΥ
10,Αιθουσα,Εργαστήριο Γαληνός
11,Μαθήμα ,Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων
11,Ημέρα,ΤΕΤΑΡΤΗ
11,Ωρα Απο,15:00
11,Ωρα Εως,17:00
11,Καθηγητής,Α. ΠΑΤΕΛΗ
11,Αιθουσα,Αίθουσα 2
12,Μαθήμα ,Παράλληλος Προγραμματισμός
12,Ημέρα,ΤΕΤΑΡΤΗ
12,Ωρα Απο,17:00
12,Ωρα Εως,19:00
12,Καθηγητής,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
12,Αιθουσα,Εργαστήριο Αρεταίος
13,Μαθήμα ,Στρατηγική και Διοίκηση Πληροφοριακών Συστημάτων
13,Ημέρα,ΠΕΜΠΤΗ
13,Ωρα Απο,13:00
13,Ωρα Εως,15:00
13,Καθηγητής,Α. ΠΑΤΕΛΗ
13,Αιθουσα,Αίθουσα 2
14,Μαθήμα ,Κοινωνικός και Σημασιολογικός Ιστός
14,Ημέρα,ΠΕΜΠΤΗ
14,Ωρα Απο,15:00
14,Ωρα Εως,17:00
14,Καθηγητής,Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
14,Αιθουσα,Εργαστήριο Αρεταίος
15,Μαθήμα ,Επεξεργασία Ομιλίας και Ήχου
15,Ημέρα,ΠΕΜΠΤΗ
15,Ωρα Απο,17:00
15,Ωρα Εως,19:00
15,Καθηγητής,Ι. ΚΑΡΥΔΗΣ
15,Αιθουσα,Εργαστήριο Γαληνός
16,Μαθήμα ,Έξυπνα Περιβάλλοντα και Εφαρμογές
16,Ημέρα,ΠΑΡΑΣΚΕΥΗ
16,Ωρα Απο,19:00
16,Ωρα Εως,21:00
16,Καθηγητής,K. ΧΩΡΙΑΝΟΠΟΥΛΟΣ
16,Αιθουσα,Εργαστήριο Αρεταίος
